Percentage Overlap, Frequency
32, 10
33, 213
90, 39
21, 13
63, 627
71, 52
26, 64
80, 1024
18, 14
72, 580
16, 223
44, 508
55, 663
74, 34
84, 47
27, 159
57, 77
61, 650
20, 17
92, 75
10, 4
35, 35
11, 215
91, 1841
78, 70
48, 43
87, 3
93, 18
77, 1006
65, 74
29, 14
50, 672
39, 2
64, 121
97, 6442
12, 10
58, 632
41, 496
15, 6
81, 68
52, 722
60, 55
56, 79
45, 65
73, 162
66, 798
76, 117
86, 3807
19, 163
62, 96
54, 63
67, 110
70, 97
68, 63
2, 140
17, 5
88, 202
30, 393
82, 99
25, 154
28, 10
83, 1245
75, 701
40, 40
14, 10
69, 5450
59, 56
24, 1
53, 28
79, 48
22, 117
42, 39
46, 19
0, 160
23, 10
13, 275
96, 2
85, 52
36, 353
94, 535
51, 101
47, 407
38, 278
8, 119
34, 13
37, 10
43, 4
5, 131
