Number of Relations, Frequency
90, 4
63, 10
206, 4
71, 17
80, 8
193, 16
180, 3
200, 47
99, 4
179, 2
72, 1111
55, 2
84, 4
74, 85
190, 6
194, 4
95, 2
57, 19
61, 20
201, 8
152, 1
189, 15
207, 2
91, 2
78, 21
48, 2
107, 4
87, 12
93, 6
77, 22
65, 125
197, 19
203, 18
64, 14
58, 13
153, 1
52, 2
60, 23
56, 15
66, 51
73, 113
86, 17
76, 93
62, 29
54, 7
67, 73
204, 6
70, 82
198, 61
68, 32
88, 14
100, 10
82, 25
120, 471
75, 55
83, 10
192, 7
69, 19
59, 18
191, 10
187, 6
104, 7
155, 3
53, 2
79, 4
96, 4
85, 15
185, 2
36, 1018
94, 9
111, 3
51, 5
209, 3
98, 4
117, 7
196, 16
195, 46
